,Book,PageLink
0,Samhita,/wiki/Samhita
1,Itihasas,/wiki/Itihasas
2,Ramayana,/wiki/Ramayana
3,Pali Canon,/wiki/Pali_Canon
4,Shakyamuni Buddha,/wiki/Shakyamuni_Buddha
5,Tipitaka,/wiki/Tipitaka
6,Puranas,/wiki/Puranas
7,Dharmasastra,/wiki/Dharmasastra
8,Sapta Sindhu,/wiki/Sapta_Sindhu
9,Aitareya Aranyaka,/wiki/Aitareya_Aranyaka
10,Jatakalankara,/wiki/Jatakalankara
11,Aitareya Aranyaka,/wiki/Aitareya_Aranyaka
12,Baharistan-i-Ghaibi,/wiki/Baharistan-i-Ghaibi
13,Yajurveda,/wiki/Yajurveda
14,Theravada Buddhism,/wiki/Theravada_Buddhism
15,Chahar Gulshan,/wiki/Chahar_Gulshan
16,Samaveda,/wiki/Samaveda
17,Atharvaveda,/wiki/Atharvaveda
18,Ramayana,/wiki/Ramayana
19,Rama,/wiki/Rama
20,Mahabharata,/wiki/Mahabharata
21,Bhagavad Gita,/wiki/Bhagavad_Gita
22,Rig Veda,/wiki/Rig_Veda
23,Mahabharata,/wiki/Mahabharata
24,Hatha Yoga Pradipika,/wiki/Hatha_Yoga_Pradipika
25,Gheranda Samhita,/wiki/Gheranda_Samhita
26,Yoga Sutras,/wiki/Yoga_Sutras
27,Patanjali,/wiki/Patanjali
28,Vishnu Purana,/wiki/Vishnu_Purana
29,Purana,/wiki/Purana
30,Herodotus,/wiki/Herodotus
31,Arthashastra,/wiki/Arthashastra
32,Chandragupta Maurya,/wiki/Chandragupta_Maurya
33,Magadha,/wiki/Magadha
34,Shahjahannama,/wiki/Shahjahannama
35,Milinda Panha,/wiki/Milinda_Panha
36,Milinda,/wiki/Milinda
37,Menander,/wiki/Menander
38,Sagala,/wiki/Sagala
39,Buddhacharita,/wiki/Buddhacharita
40,Shakyamuni Buddha,/wiki/Shakyamuni_Buddha
41,Ashvagosha,/wiki/Ashvagosha
42,Kanishka,/wiki/Kanishka
43,Purushapura,/wiki/Purushapura
44,Periplus of the Erythrean Sea,/wiki/Periplus_of_the_Erythrean_Sea
45,Manusmriti,/wiki/Manusmriti
46,Dharmaśāstra,/wiki/Dharma%C5%9B%C4%81stra
47,Puranas,/wiki/Puranas
48,Kamasutra,/wiki/Kamasutra
49,Vātsyāyana,/wiki/V%C4%81tsy%C4%81yana
50,Charaka Samhita,/wiki/Charaka_Samhita
51,Charaka,/wiki/Charaka
52,Ashtadyayi,/wiki/Ashtadyayi
53,Pāṇini,/wiki/P%C4%81%E1%B9%87ini
54,Siddhāntakaumudī,/wiki/Siddh%C4%81ntakaumud%C4%AB
55,Bhaṭṭoji Dīkṣita,/wiki/Bha%E1%B9%AD%E1%B9%ADoji_D%C4%ABk%E1%B9%A3ita
56,Mahabhashya,/wiki/Mahabhashya
57,Patanjali,/wiki/Patanjali
58,Devichandraguptam,/wiki/Devichandraguptam
59,Chandragupta II,/wiki/Chandragupta_II
60,Vishakhadatta,/wiki/Vishakhadatta
61,Āryabhaṭīya,/wiki/%C4%80ryabha%E1%B9%AD%C4%ABya
62,Surya Siddhanta,/wiki/Surya_Siddhanta
63,Varahamihira,/wiki/Varahamihira
64,Romaka Siddhanta,/wiki/Romaka_Siddhanta
65,Panchasiddhantika,/wiki/Panchasiddhantika
66,Paulisa Siddhanta,/wiki/Paulisa_Siddhanta
67,Vasishtha Siddhanta,/wiki/Vasishtha_Siddhanta
68,Paitamaha Siddhanta,/wiki/Paitamaha_Siddhanta
69,Brāhmasphuṭasiddhānta,/wiki/Br%C4%81hmasphu%E1%B9%ADasiddh%C4%81nta
70,Mahabhaskariya,/wiki/Mahabhaskariya
71,Bhaskara I,/wiki/Bhaskara_I
72,Aryabhatta,/wiki/Aryabhatta
73,Dhavala,/wiki/Dhavala
74,Virasena,/wiki/Virasena
75,Amoghavarsha,/wiki/Amoghavarsha
76,Mahavira,/wiki/Mahavira
77,Rashtrakuta,/wiki/Rashtrakuta
78,Sridhara,/wiki/Sridhara
79,Bengal,/wiki/Bengal
80,Maha-Siddhanta,/wiki/Maha-Siddhanta
81,Aryabhata II,/wiki/Aryabhata_II
82,Sridhara,/wiki/Sridhara
83,Siddhanta Sekhara,/wiki/Siddhanta_Sekhara
84,Tuzk-e-Jahangiri,/wiki/Tuzk-e-Jahangiri
85,Dhikotidakarana,/wiki/Dhikotidakarana
86,Śrīpati,/wiki/%C5%9Ar%C4%ABpati
87,Siddhanta Shiromani,/wiki/Siddhanta_Shiromani
88,Lilavati,/wiki/Lilavati
89,Bijaganita,/wiki/Bijaganita
90,Travels of Faxian,/wiki/Faxian
91,Shakuntala,/wiki/Shakuntala
92,Kalidasa,/wiki/Kalidasa
93,Magadha,/wiki/Magadha
94,Meghadūta,/wiki/Meghad%C5%ABta
95,Mrichakatika,/wiki/Mrichakatika
96,Shudraka,/wiki/Shudraka
97,Harshacharita,/wiki/Harshacharita
98,Harsha Vardhana,/wiki/Harsha_Vardhana
99,Pulakesin II,/wiki/Pulakesin_II
100,Badami,/wiki/Badami
101,Krishna,/wiki/Krishna
102,Samkhya,/wiki/Samkhya
103,Soundarya Lahari,/wiki/Soundarya_Lahari
104,Sankaracharya,/wiki/Sankaracharya
105,Bhagavata Purana,/wiki/Bhagavata_Purana
106,Mattavilasa Prahasana,/wiki/Mattavilasa_Prahasana
107,Mahendravarman I,/wiki/Mahendravarman_I
108,Kancheepuram,/wiki/Kancheepuram
109,Ratirahasya,/wiki/Ratirahasya
110,Kabir,/wiki/Kabir
111,Chagatai language,/wiki/Chagatai_language
112,Gulbadan Begum,/wiki/Gulbadan_Begum
113,Humayunnama,/wiki/Humayun
114,Nimmatnama-i-Nasiruddin-Shahi,/wiki/Nimmatnama-i-Nasiruddin-Shahi
115,Ghiyath Shah,/wiki/Ghiyath_Shah
116,Abu'l-Fazl ibn Mubarak,/wiki/Abu%27l-Fazl_ibn_Mubarak
117,Tulsidas Ramayan,/wiki/Tulsidas
118,Guru Granth Sahib,/wiki/Guru_Granth_Sahib
119,Akbarnama,/wiki/Akbarnama
120,Padshahnama,/wiki/Padshahnama