,Institute,PageLink
3,Sri Venkateswara Institute of Medical Sciences,/wiki/Sri_Venkateswara_Institute_of_Medical_Sciences
5,School of Planning and Architecture,"/wiki/School_of_Planning_and_Architecture,_Vijayawada"
8,Damodaram Sanjivayya National Law University,/wiki/Damodaram_Sanjivayya_National_Law_University
10,"Indian Institute of Information Technology, Sri City","/wiki/Indian_Institute_of_Information_Technology,_Sri_City"
11,"Indian Institute of Information Technology Design and Manufacturing, Kurnool","/wiki/Indian_Institute_of_Information_Technology_Design_and_Manufacturing,_Kurnool"
14,"Indian Institute of Science Education and Research, Tirupati","/wiki/Indian_Institute_of_Science_Education_and_Research,_Tirupati"
20,Indian Institutes of Management Visakhapatnam,/wiki/Indian_Institute_of_Management_Visakhapatnam
26,"National Institute of Design, Vijayawada","/wiki/National_Institute_of_Design,_Vijayawada"
32,"Indian Institute of Petroleum and Energy 
",/wiki/Indian_Institute_of_Petroleum_and_Energy
41,"National Institute of Pharmaceutical Education and Research, Guwahati","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Guwahati"
47,"National Law University and Judicial Academy, Assam","/wiki/National_Law_University_and_Judicial_Academy,_Assam"
53,"National Institute of Pharmaceutical Education and Research, Hajipur","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Hajipur"
54,Indira Gandhi Institute of Medical Sciences,/wiki/Indira_Gandhi_Institute_of_Medical_Sciences
62,Chanakya National Law University,/wiki/Chanakya_National_Law_University
65,"All India Institute of Medical Sciences, Patna",/wiki/AIIMS_Patna
68,Indian Institute of Management Bodh Gaya,/wiki/Indian_Institute_of_Management_Bodh_Gaya
71,Hidayatullah National Law University,/wiki/Hidayatullah_National_Law_University
74,Indian Institutes of Management Raipur,/wiki/Indian_Institute_of_Management_Raipur
81,"All India Institute of Medical Sciences, Raipur",/wiki/AIIMS_Raipur
98,"School of Planning and Architecture, Delhi","/wiki/School_of_Planning_and_Architecture,_Delhi"
99,"National Institute of Design, Ahmedabad","/wiki/National_Institute_of_Design,_Ahmedabad"
103,"National Institute of Pharmaceutical Education and Research, Ahmedabad","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Ahmedabad"
106,Indian Institute of Management Ahmedabad,/wiki/Indian_Institute_of_Management_Ahmedabad
107,Gujarat National Law University,/wiki/Gujarat_National_Law_University
110,"National Law University, Delhi","/wiki/National_Law_University,_Delhi"
118,Indian Institute of Management Rohtak,/wiki/Indian_Institute_of_Management_Rohtak
130,"Indian Institute of Management Sirmaur
",/wiki/Indian_Institute_of_Management_Sirmaur
139,Sher-i-Kashmir Institute of Medical Sciences,/wiki/Sher-i-Kashmir_Institute_of_Medical_Sciences
142,Indian Institute of Technology Jammu,/wiki/Indian_Institute_of_Management_Jammu
145,"Indian Institute of Technology (ISM), Dhanbad","/wiki/Indian_Institute_of_Technology_(ISM),_Dhanbad"
148,Indian Institute of Management Ranchi,/wiki/Indian_Institute_of_Management_Ranchi
149,National University of Study and Research in Law,/wiki/National_University_of_Study_and_Research_in_Law
155,National Institute of Mental Health and Neurosciences,/wiki/National_Institute_of_Mental_Health_and_Neurosciences
159,Indian Institute of Management Bangalore,/wiki/Indian_Institute_of_Management_Bangalore
160,National Law School of India University,"/wiki/National_Law_School_of_India_University
"
169,"Indian Institute of Science Education and Research, Thiruvananthapuram","/wiki/Indian_Institute_of_Science_Education_and_Research,_Thiruvananthapuram"
172,Sree Chitra Tirunal Institute for Medical Sciences and Technology,/wiki/Sree_Chitra_Tirunal_Institute_for_Medical_Sciences_and_Technology
179,Indian Institute of Management Kozhikode,/wiki/Indian_Institute_of_Management_Kozhikode
188,National University of Advanced Legal Studies,/wiki/National_University_of_Advanced_Legal_Studies
191,Indian Institute of Management Indore,/wiki/Indian_Institute_of_Management_Indore
194,"Indian Institute of Science Education and Research, Bhopal","/wiki/Indian_Institute_of_Science_Education_and_Research,_Bhopal"
197,National Law Institute University,/wiki/National_Law_Institute_University
201,"All India Institute of Medical Sciences, Bhopal",/wiki/AIIMS_Bhopal
203,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur","/wiki/Indian_Institute_of_Information_Technology,_Design_and_Manufacturing,_Jabalpur"
204,"Indian Institute of Information Technology and Management, Gwalior","/wiki/Indian_Institute_of_Information_Technology_and_Management,_Gwalior"
215,"School of Planning and Architecture, Bhopal","/wiki/School_of_Planning_and_Architecture,_Bhopal"
221,National Institute of Technology,/wiki/National_Institute_of_Technology
224,Indian Institute of Science Education and Research,/wiki/Indian_Institute_of_Science_Education_and_Research
225,"Indian Institute of Management Nagpur
",/wiki/Indian_Institute_of_Management_Nagpur
227,Visvesvaraya National Institute of Technology,/wiki/Visvesvaraya_National_Institute_of_Technology
228,"Maharashtra National Law University, Nagpur","/wiki/Maharashtra_National_Law_University,_Nagpur"
230,"Maharashtra National Law University, Mumbai","/wiki/Maharashtra_National_Law_University,_Mumbai"
236,Indian Institute of Management Shillong,/wiki/Indian_Institute_of_Management_Shillong
245,"All India Institute of Medical Sciences, Bhubaneswar","/wiki/All_India_Institute_of_Medical_Sciences,_Bhubaneswar"
248,National Law University Odisha,/wiki/National_Law_University_Odisha
254,Indian Institute of Management Sambalpur,/wiki/Indian_Institute_of_Management_Sambalpur
257,Indian Institute of Science Education and Research Berhampur,/wiki/Indian_Institute_of_Science_Education_and_Research_Berhampur
258,Jawaharlal Institute of Postgraduate Medical Education and Research,/wiki/Jawaharlal_Institute_of_Postgraduate_Medical_Education_and_Research
266,"National Institute of Pharmaceutical Education and Research, Mohali","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Mohali"
267,Rajiv Gandhi National University of Law,/wiki/Rajiv_Gandhi_National_University_of_Law
270,"Indian Institute of Science Education and Research, Mohali","/wiki/Indian_Institute_of_Science_Education_and_Research,_Mohali"
278,Indian Institute of Management Amritsar,/wiki/Indian_Institute_of_Management_Amritsar
279,"All India Institute of Medical Sciences, Jodhpur",/wiki/AIIMS_Jodhpur
282,"National Law University, Jodhpur","/wiki/National_Law_University,_Jodhpur"
287,Indian Institute of Management Udaipur,/wiki/Indian_Institute_of_Management_Udaipur
296,Indian Institute of Information Technology Design & Manufacturing Kancheepuram,/wiki/Indian_Institute_of_Information_Technology_Design_%26_Manufacturing_Kancheepuram
300,Tamil Nadu National Law School,/wiki/Tamil_Nadu_National_Law_School
302,National Law University,/wiki/National_Law_University
305,Indian Institute of Management Tiruchirappalli,/wiki/Indian_Institute_of_Management_Tiruchirappalli
314,"National Institute of Pharmaceutical Education and Research, Hyderabad","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Hyderabad"
318,Nizam's Institute of Medical Sciences,/wiki/Nizam%27s_Institute_of_Medical_Sciences
321,NALSAR University of Law,/wiki/NALSAR_University_of_Law
323,National Law University,/wiki/National_Law_University
330,Indian Institute of Management Lucknow,/wiki/Indian_Institute_of_Management_Lucknow
331,Dr. Ram Manohar Lohia National Law University,/wiki/Dr._Ram_Manohar_Lohia_National_Law_University
336,"National Institute of Pharmaceutical Education and Research, Raebareli","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Raebareli"
337,Rajiv Gandhi Institute of Petroleum Technology,/wiki/Rajiv_Gandhi_Institute_of_Petroleum_Technology
345,"Indian Institute of Information Technology, Allahabad","/wiki/Indian_Institute_of_Information_Technology,_Allahabad"
351,Sanjay Gandhi Postgraduate Institute of Medical Sciences,/wiki/Sanjay_Gandhi_Postgraduate_Institute_of_Medical_Sciences
356,Indian Institute of Management Kashipur,/wiki/Indian_Institute_of_Management_Kashipur
357,"All India Institute of Medical Sciences, Rishikesh",/wiki/AIIMS_Rishikesh
367,Indian Institute of Information Technology,"/wiki/Indian_Institute_of_Information_Technology,_Kalyani"
370,Indian Institute of Management Calcutta,/wiki/Indian_Institute_of_Management_Calcutta
371,"National Institute of Pharmaceutical Education and Research, Kolkata","/wiki/National_Institute_of_Pharmaceutical_Education_and_Research,_Kolkata"
377,"Indian Institute of Engineering Science and Technology, Shibpur","/wiki/Indian_Institute_of_Engineering_Science_and_Technology,_Shibpur"
379,Indian Statistical Institute,/wiki/Indian_Statistical_Institute
383,"Indian Institute of Science Education and Research, Kolkata","/wiki/Indian_Institute_of_Science_Education_and_Research,_Kolkata"
387,West Bengal National University of Juridical Sciences,/wiki/West_Bengal_National_University_of_Juridical_Sciences