,NIT,PageLink
1,"Motilal Nehru National Institute of Technology, Allahabad","/wiki/Motilal_Nehru_National_Institute_of_Technology,_Allahabad"
4,Maulana Azad National Institute of Technology Bhopal,/wiki/Maulana_Azad_National_Institute_of_Technology_Bhopal
7,National Institute of Technology Calicut,/wiki/National_Institute_of_Technology_Calicut
10,National Institute of Technology Hamirpur,/wiki/National_Institute_of_Technology_Hamirpur
11,"Hamirpur, Himachal Pradesh","/wiki/Hamirpur,_Himachal_Pradesh"
13,Malaviya National Institute of Technology Jaipur,/wiki/Malaviya_National_Institute_of_Technology_Jaipur
16,Dr. B. R. Ambedkar National Institute of Technology Jalandhar,/wiki/Dr._B._R._Ambedkar_National_Institute_of_Technology_Jalandhar
19,National Institute of Technology Jamshedpur,/wiki/National_Institute_of_Technology_Jamshedpur
22,National Institute of Technology Kurukshetra,/wiki/National_Institute_of_Technology_Kurukshetra
25,Visvesvaraya National Institute of Technology Nagpur,/wiki/Visvesvaraya_National_Institute_of_Technology_Nagpur
28,National Institute of Technology Rourkela,/wiki/National_Institute_of_Technology_Rourkela
31,National Institute of Technology Silchar,/wiki/National_Institute_of_Technology_Silchar
34,National Institute of Technology Surathkal,/wiki/National_Institute_of_Technology_Surathkal
37,National Institute of Technology Warangal,/wiki/National_Institute_of_Technology_Warangal
40,National Institute of Technology Durgapur,/wiki/National_Institute_of_Technology_Durgapur
43,National Institute of Technology Srinagar,/wiki/National_Institute_of_Technology_Srinagar
46,"Sardar Vallabhbhai National Institute of Technology, Surat","/wiki/Sardar_Vallabhbhai_National_Institute_of_Technology,_Surat"
49,National Institute of Technology Trichy,/wiki/National_Institute_of_Technology_Trichy
52,"National Institute of Technology, Patna","/wiki/National_Institute_of_Technology,_Patna"
55,National Institute of Technology Raipur,/wiki/National_Institute_of_Technology_Raipur
58,National Institute of Technology Agartala,/wiki/National_Institute_of_Technology_Agartala
61,National Institute of Technology Arunachal Pradesh,/wiki/National_Institute_of_Technology_Arunachal_Pradesh
64,"National Institute of Technology, Delhi","/wiki/National_Institute_of_Technology,_Delhi"
67,National Institute of Technology Goa,/wiki/National_Institute_of_Technology_Goa
70,National Institute of Technology Manipur,/wiki/National_Institute_of_Technology_Manipur
73,National Institute of Technology Meghalaya,/wiki/National_Institute_of_Technology_Meghalaya
76,National Institute of Technology Mizoram,/wiki/National_Institute_of_Technology_Mizoram
79,National Institute of Technology Nagaland,/wiki/National_Institute_of_Technology_Nagaland
82,National Institute of Technology Puducherry,/wiki/National_Institute_of_Technology_Puducherry
85,National Institute of Technology Sikkim,/wiki/National_Institute_of_Technology_Sikkim
88,National Institute of Technology Uttarakhand,/wiki/National_Institute_of_Technology_Uttarakhand
91,"National Institute of Technology, Andhra Pradesh","/wiki/National_Institute_of_Technology,_Andhra_Pradesh"