,Organisation,PageLink
0,Template:India-org-stub,/wiki/Template:India-org-stub
1,AASRA,/wiki/AASRA
2,Adhya Educational Society,/wiki/Adhya_Educational_Society
3,Adi Baane Kebang Youth Wing,/wiki/Adi_Baane_Kebang_Youth_Wing
4,Agricultural Promotion and Investment Corporation of Odisha Limited,/wiki/Agricultural_Promotion_and_Investment_Corporation_of_Odisha_Limited
5,Akanksha Foundation,/wiki/Akanksha_Foundation
6,Akhil Bharat Nepali Ekta Samaj,/wiki/Akhil_Bharat_Nepali_Ekta_Samaj
7,Akhil Bharatiya Adhivakta Parishad,/wiki/Akhil_Bharatiya_Adhivakta_Parishad
8,Akonir Namghar,/wiki/Akonir_Namghar
9,All Arunachal Pradesh Students' Union,/wiki/All_Arunachal_Pradesh_Students%27_Union
10,All Idu Mishmi Students Union,/wiki/All_Idu_Mishmi_Students_Union
11,All India Muslim Women's Personal Law Board,/wiki/All_India_Muslim_Women%27s_Personal_Law_Board
12,All India Students Federation,/wiki/All_India_Students_Federation
13,All Ladakh Gonpa Association,/wiki/All_Ladakh_Gonpa_Association
14,All Manipur Buddhist Association,/wiki/All_Manipur_Buddhist_Association
15,All Tripura Tiger Force,/wiki/All_Tripura_Tiger_Force
16,Andhra Pradesh Library Association,/wiki/Andhra_Pradesh_Library_Association
17,Andhra Pradesh Motor Sports Club,/wiki/Andhra_Pradesh_Motor_Sports_Club
18,Anjuman-i Taraqqi-i Urdu,/wiki/Anjuman-i_Taraqqi-i_Urdu
19,Apollo Medskills,/wiki/Apollo_Medskills
20,AR Rahman Foundation,/wiki/AR_Rahman_Foundation
21,Arunachal Dragon Force,/wiki/Arunachal_Dragon_Force
22,Association of Christian Philosophers of India,/wiki/Association_of_Christian_Philosophers_of_India
23,Association of Pharmaceutical Teachers of India,/wiki/Association_of_Pharmaceutical_Teachers_of_India
24,Athar Blood Bank,/wiki/Athar_Blood_Bank
25,Bandhua Mukti Morcha,/wiki/Bandhua_Mukti_Morcha
26,Bengal Baptist Fellowship,/wiki/Bengal_Baptist_Fellowship
27,Bharat Stree Mahamandal,/wiki/Bharat_Stree_Mahamandal
28,Bharati (research station),/wiki/Bharati_(research_station)
29,Bharatiya Jain Sanghatana,/wiki/Bharatiya_Jain_Sanghatana
30,Bhumi Sena,/wiki/Bhumi_Sena
31,Bhumi Uchhed Pratirodh Committee,/wiki/Bhumi_Uchhed_Pratirodh_Committee
32,Bihar Combined Entrance Competitive Examination Board,/wiki/Bihar_Combined_Entrance_Competitive_Examination_Board
33,Bodo Peoples' Action Committee,/wiki/Bodo_Peoples%27_Action_Committee
34,Bombay Catholic Sabha,/wiki/Bombay_Catholic_Sabha
35,Bombay Citizens' Committee,/wiki/Bombay_Citizens%27_Committee
36,Borok People's Human Rights Organisation,/wiki/Borok_People%27s_Human_Rights_Organisation
37,Brethren in Christ Church Society,/wiki/Brethren_in_Christ_Church_Society
38,Bureau of Technical Education,/wiki/Bureau_of_Technical_Education
39,Burning Brain Society,/wiki/Burning_Brain_Society
40,Catholic Association of South Kanara,/wiki/Catholic_Association_of_South_Kanara
41,Catholic Club,/wiki/Catholic_Club
42,Catholic Secular Forum,/wiki/Catholic_Secular_Forum
43,Central Government Employees Welfare Housing Organisation,/wiki/Central_Government_Employees_Welfare_Housing_Organisation
44,Central Institute of Indian Languages,/wiki/Central_Institute_of_Indian_Languages
45,Central Institute of Mining and Fuel Research,/wiki/Central_Institute_of_Mining_and_Fuel_Research
46,Central Salt and Marine Chemicals Research Institute,/wiki/Central_Salt_and_Marine_Chemicals_Research_Institute
47,Centre for Internet and Society (India),/wiki/Centre_for_Internet_and_Society_(India)
48,Chennai Centre for China Studies,/wiki/Chennai_Centre_for_China_Studies
49,Chin Student Association,/wiki/Chin_Student_Association
50,Christian Chamber of Commerce and Industry,/wiki/Christian_Chamber_of_Commerce_and_Industry
51,Friends Volleyball Club,/wiki/Friends_Volleyball_Club
52,Comrades Association,/wiki/Comrades_Association
53,Concerned for Working Children,/wiki/Concerned_for_Working_Children
54,Confederation of Indian Communists and Democratic Socialists,/wiki/Confederation_of_Indian_Communists_and_Democratic_Socialists
55,Coordination of Democratic Rights Organisations,/wiki/Coordination_of_Democratic_Rights_Organisations
56,Cuttack Municipal Corporation,/wiki/Cuttack_Municipal_Corporation
57,CybageAsha,/wiki/CybageAsha
58,Dabur Research Foundation,/wiki/Dabur_Research_Foundation
59,Dalit Indian Chamber of Commerce and Industry,/wiki/Dalit_Indian_Chamber_of_Commerce_and_Industry
60,Darjeeling Planters' Club,/wiki/Darjeeling_Planters%27_Club
61,Data Security Council of India,/wiki/Data_Security_Council_of_India
62,Dawn (Bengali educational society),/wiki/Dawn_(Bengali_educational_society)
63,Delhi Fire Service,/wiki/Delhi_Fire_Service
64,Department of Environment and Forest of Arunachal Pradesh,/wiki/Department_of_Environment_and_Forest_of_Arunachal_Pradesh
65,Desh Bhagat Sahayak Sabha,/wiki/Desh_Bhagat_Sahayak_Sabha
66,Development and Educational Communication Unit,/wiki/Development_and_Educational_Communication_Unit
67,Dharma Sabha,/wiki/Dharma_Sabha
68,Dhruva Academy,/wiki/Dhruva_Academy
69,Digital Film Makers Forum,/wiki/Digital_Film_Makers_Forum
70,Dravidian Linguistics Association,/wiki/Dravidian_Linguistics_Association
71,Drug Controller General of India,/wiki/Drug_Controller_General_of_India
72,Education Council of India,/wiki/Education_Council_of_India
73,Ekalokam Trust for Photography,/wiki/Ekalokam_Trust_for_Photography
74,Emmanuel Society,/wiki/Emmanuel_Society
75,Enigma Force,/wiki/Enigma_Force
76,Environmental Protection Training and Research Institute,/wiki/Environmental_Protection_Training_and_Research_Institute
77,Equatorial Geophysical Research Laboratory,/wiki/Equatorial_Geophysical_Research_Laboratory
78,EuroIndia Centre,/wiki/EuroIndia_Centre
79,Evangelical Missionary Society of Mayurbhanj,/wiki/Evangelical_Missionary_Society_of_Mayurbhanj
80,Federation of Automobile Dealers Associations of India,/wiki/Federation_of_Automobile_Dealers_Associations_of_India
81,Federation of Western India Cine Employees,/wiki/Federation_of_Western_India_Cine_Employees
82,Forum of Indian Leftists,/wiki/Forum_of_Indian_Leftists
83,Friends of the Soviet Union (India),/wiki/Friends_of_the_Soviet_Union_(India)
84,Geological Society of India,/wiki/Geological_Society_of_India
85,Global Research Alliance,/wiki/Global_Research_Alliance
86,Goan Sports Association,/wiki/Goan_Sports_Association
87,Goodricke National Chess Academy,/wiki/Goodricke_National_Chess_Academy
88,Himachal Seb Utpadak Sangh,/wiki/Himachal_Seb_Utpadak_Sangh
89,Hindu Jagran Manch,/wiki/Hindu_Jagran_Manch
90,Hindu Satkar Samity,/wiki/Hindu_Satkar_Samity
91,Hindu Vivek Kendra,/wiki/Hindu_Vivek_Kendra
92,Hindustan Sea Turtle Alliance,/wiki/Hindustan_Sea_Turtle_Alliance
93,Human Rights Documentation Centre,/wiki/Human_Rights_Documentation_Centre
94,Hyderabad Aero Club,/wiki/Hyderabad_Aero_Club
95,"Imam Khomeini Memorial Trust, Kargil","/wiki/Imam_Khomeini_Memorial_Trust,_Kargil"
96,India Innovation Growth Programme,/wiki/India_Innovation_Growth_Programme
97,India Partners,/wiki/India_Partners
98,Indiaâ€“Albania Friendship Association,/wiki/India%E2%80%93Albania_Friendship_Association
99,Indian Angel Network,/wiki/Indian_Angel_Network
100,Indian Archaeological Society,/wiki/Indian_Archaeological_Society
101,Indian Concrete Institute,/wiki/Indian_Concrete_Institute
102,Indian Council of World Affairs,/wiki/Indian_Council_of_World_Affairs
103,Indian Education Service,/wiki/Indian_Education_Service
104,Indian Federation of United Nations Associations,/wiki/Indian_Federation_of_United_Nations_Associations
105,Indian Film and TV Producers Council,/wiki/Indian_Film_and_TV_Producers_Council
106,Indian Institute of Chemical Engineers,/wiki/Indian_Institute_of_Chemical_Engineers
107,Indian Meteorological Society,/wiki/Indian_Meteorological_Society
108,Indian National Students Organisation,/wiki/Indian_National_Students_Organisation
109,The Indian Newspaper Society,/wiki/The_Indian_Newspaper_Society
110,Indian Physical Society,/wiki/Indian_Physical_Society
111,Indian Police Foundation and Institute,/wiki/Indian_Police_Foundation_and_Institute
112,Indian Science Writers' Association,/wiki/Indian_Science_Writers%27_Association
113,"Institute of Advanced Virology, Kerala","/wiki/Institute_of_Advanced_Virology,_Kerala"
114,Institute of Company Secretaries of India,/wiki/Institute_of_Company_Secretaries_of_India
115,Institute of Directors (India),/wiki/Institute_of_Directors_(India)
116,Institution of Valuers,/wiki/Institution_of_Valuers
117,Integrated Rural Technology Centre,/wiki/Integrated_Rural_Technology_Centre
118,The Intellects,/wiki/The_Intellects
119,Jan Sangharsh Manch,/wiki/Jan_Sangharsh_Manch
120,Jan Vignana Vedika,/wiki/Jan_Vignana_Vedika
121,Japan-India Association,/wiki/Japan-India_Association
122,Jyothirgamaya Foundation,/wiki/Jyothirgamaya_Foundation
123,Jyotirvidya Parisanstha,/wiki/Jyotirvidya_Parisanstha
124,K.P.M. Trust,/wiki/K.P.M._Trust
125,Karnataka Konkani Sahitya Academy,/wiki/Karnataka_Konkani_Sahitya_Academy
126,Karnataka Rajya Raitha Sangha,/wiki/Karnataka_Rajya_Raitha_Sangha
127,Karnataka Sahitya Academy,/wiki/Karnataka_Sahitya_Academy
128,Karnataka State Pollution Control Board,/wiki/Karnataka_State_Pollution_Control_Board
129,Kashmir Raj Bodhi Mahasabha,/wiki/Kashmir_Raj_Bodhi_Mahasabha
130,Kerala Farmers Federation,/wiki/Kerala_Farmers_Federation
131,Kerala Khadi &amp; Village Industries Board,/wiki/Kerala_Khadi_%26_Village_Industries_Board
132,Kerala Swatantra Matsyathozhilali Federation,/wiki/Kerala_Swatantra_Matsyathozhilali_Federation
133,Kheti Virasat Mission,/wiki/Kheti_Virasat_Mission
134,Kokborok Sahitya Sabha,/wiki/Kokborok_Sahitya_Sabha
135,Kolkata Improvement Trust,/wiki/Kolkata_Improvement_Trust
136,Kolkata Metropolitan Development Authority,/wiki/Kolkata_Metropolitan_Development_Authority
137,Kudumbi Seva Sanghom,/wiki/Kudumbi_Seva_Sanghom
138,Ladakh Buddhist Association,/wiki/Ladakh_Buddhist_Association
139,Legion Hacktivist Group,/wiki/Legion_Hacktivist_Group
140,Maharashtra Rationalist Association,/wiki/Maharashtra_Rationalist_Association
141,Mahatma Gandhi Foundation,/wiki/Mahatma_Gandhi_Foundation
142,Mahatma Gandhi Institute for Rural Industrialization,/wiki/Mahatma_Gandhi_Institute_for_Rural_Industrialization
143,Mahatma Gandhi National Memorial Trust,/wiki/Mahatma_Gandhi_National_Memorial_Trust
144,Mahila Shakti Samajik Samiti,/wiki/Mahila_Shakti_Samajik_Samiti
145,"Mahratta Chamber of Commerce, Industries and Agriculture","/wiki/Mahratta_Chamber_of_Commerce,_Industries_and_Agriculture"
146,Mahratta Education Fund,/wiki/Mahratta_Education_Fund
147,Maitri Pune,/wiki/Maitri_Pune
148,Mangalore Urban Development Authority,/wiki/Mangalore_Urban_Development_Authority
149,Matru Sewa Sangh,/wiki/Matru_Sewa_Sangh
150,Matua Mahasangha,/wiki/Matua_Mahasangha
151,Maulana Azad Education Foundation,/wiki/Maulana_Azad_Education_Foundation
152,Micro Tech Global Foundation,/wiki/Micro_Tech_Global_Foundation
153,Mithilalok Foundation,/wiki/Mithilalok_Foundation
154,Mohammedan Literary Society,/wiki/Mohammedan_Literary_Society
155,Muslim Association for the Advancement of Science,/wiki/Muslim_Association_for_the_Advancement_of_Science
156,Muslim Educational Association of Southern India,/wiki/Muslim_Educational_Association_of_Southern_India
157,Myna Mahila Foundation,/wiki/Myna_Mahila_Foundation
158,Mysore Urban Development Authority,/wiki/Mysore_Urban_Development_Authority
159,Nagari Pracharini Sabha,/wiki/Nagari_Pracharini_Sabha
160,Nainital Bank,/wiki/Nainital_Bank
161,Nambikkai,/wiki/Nambikkai
162,Narayan Seva Sansthan,/wiki/Narayan_Seva_Sansthan
163,National Accreditation Board for Hospitals &amp; Healthcare Providers,/wiki/National_Accreditation_Board_for_Hospitals_%26_Healthcare_Providers
164,National Atmospheric Research Laboratory,/wiki/National_Atmospheric_Research_Laboratory
165,National Ballet Academy and Trust of India,/wiki/National_Ballet_Academy_and_Trust_of_India
166,National Biodiversity Authority,/wiki/National_Biodiversity_Authority
167,National Campaign for People's Right to Information,/wiki/National_Campaign_for_People%27s_Right_to_Information
168,National Centre for Promotion of Employment for Disabled People,/wiki/National_Centre_for_Promotion_of_Employment_for_Disabled_People
169,National Conference Students' Union,/wiki/National_Conference_Students%27_Union
170,National Council of YMCAs of India,/wiki/National_Council_of_YMCAs_of_India
171,National Geophysical Research Institute,/wiki/National_Geophysical_Research_Institute
172,National Institute of Amateur Radio,/wiki/National_Institute_of_Amateur_Radio
173,National Institute of Electronics &amp; Information Technology,/wiki/National_Institute_of_Electronics_%26_Information_Technology
174,National Real Estate Development Council,/wiki/National_Real_Estate_Development_Council
175,National RTI Forum,/wiki/National_RTI_Forum
176,National Skill Development Agency,/wiki/National_Skill_Development_Agency
177,National Slum Dwellers Federation,/wiki/National_Slum_Dwellers_Federation
178,Naujawan Bharat Sabha,/wiki/Naujawan_Bharat_Sabha
179,Navi Mumbai Tamil Sangam,/wiki/Navi_Mumbai_Tamil_Sangam
180,Netraheen Vikas Sansthan,/wiki/Netraheen_Vikas_Sansthan
181,New Age International University,/wiki/New_Age_International_University
182,North India Tribal Mission,/wiki/North_India_Tribal_Mission
183,Odisha Fire Service,/wiki/Odisha_Fire_Service
184,Organic Farming Association of India,/wiki/Organic_Farming_Association_of_India
185,"Organisation of Development, Action and Maintenance","/wiki/Organisation_of_Development,_Action_and_Maintenance"
186,Panchkula Welfare Trust,/wiki/Panchkula_Welfare_Trust
187,Parinamika,/wiki/Parinamika
188,Pasteur Institute of India,/wiki/Pasteur_Institute_of_India
189,People for Animals,/wiki/People_for_Animals
190,People for Cattle in India,/wiki/People_for_Cattle_in_India
191,People's Revolutionary Party of Kangleipak,/wiki/People%27s_Revolutionary_Party_of_Kangleipak
192,PlanetRead,/wiki/PlanetRead
193,Plasma Science Society of India,/wiki/Plasma_Science_Society_of_India
194,Presidents of the Cricket Association of Bengal,/wiki/Presidents_of_the_Cricket_Association_of_Bengal
195,Prime Minister's National Relief Fund,/wiki/Prime_Minister%27s_National_Relief_Fund
196,Professional Social Workers' Association,/wiki/Professional_Social_Workers%27_Association
197,Project Madurai,/wiki/Project_Madurai
198,Public Cause Research Foundation,/wiki/Public_Cause_Research_Foundation
199,Pune District Education Association,/wiki/Pune_District_Education_Association
