,Party,PageLink
0,All India Trinamool Congress,/wiki/All_India_Trinamool_Congress
1,Bahujan Samaj Party,/wiki/Bahujan_Samaj_Party
2,Bharatiya Janata Party,/wiki/Bharatiya_Janata_Party
3,Communist Party of India,/wiki/Communist_Party_of_India
4,Communist Party of India (Marxist),/wiki/Communist_Party_of_India_(Marxist)
5,Indian National Congress,/wiki/Indian_National_Congress
6,Nationalist Congress Party,/wiki/Nationalist_Congress_Party
7,Aam Aadmi Party,/wiki/Aam_Aadmi_Party
8,All India Anna Dravida Munnetra Kazhagam,/wiki/All_India_Anna_Dravida_Munnetra_Kazhagam
9,All India Forward Bloc,/wiki/All_India_Forward_Bloc
10,All India Majlis-e-Ittehadul Muslimeen,/wiki/All_India_Majlis-e-Ittehadul_Muslimeen
11,All India N.R. Congress,/wiki/All_India_N.R._Congress
12,All India United Democratic Front,/wiki/All_India_United_Democratic_Front
13,All Jharkhand Students Union,/wiki/All_Jharkhand_Students_Union
14,Asom Gana Parishad,/wiki/Asom_Gana_Parishad
15,Biju Janata Dal,/wiki/Biju_Janata_Dal
16,Bodoland People's Front,/wiki/Bodoland_People%27s_Front
17,Desiya Murpokku Dravida Kazhagam,/wiki/Desiya_Murpokku_Dravida_Kazhagam
18,Dravida Munnetra Kazhagam,/wiki/Dravida_Munnetra_Kazhagam
19,Goa Forward Party,/wiki/Goa_Forward_Party
20,Hill State People's Democratic Party,/wiki/Hill_State_People%27s_Democratic_Party
21,Indian National League,/wiki/Indian_National_League
22,Indian National Lok Dal,/wiki/Indian_National_Lok_Dal
23,Indian Union Muslim League,/wiki/Indian_Union_Muslim_League
24,Indigenous People's Front of Tripura,/wiki/Indigenous_People%27s_Front_of_Tripura
25,Jammu & Kashmir National Conference,/wiki/Jammu_%26_Kashmir_National_Conference
26,Jammu & Kashmir National Panthers Party,/wiki/Jammu_and_Kashmir_National_Panthers_Party
27,Jammu and Kashmir People's Democratic Party,/wiki/Jammu_and_Kashmir_Peoples_Democratic_Party
28,Janta Congress Chhattisgarh,/wiki/Janta_Congress_Chhattisgarh
29,Janata Dal (Secular),/wiki/Janata_Dal_(Secular)
30,Janata Dal (United),/wiki/Janata_Dal_(United)
31,Jharkhand Mukti Morcha,/wiki/Jharkhand_Mukti_Morcha
32,Jharkhand Vikas Morcha (Prajatantrik),/wiki/Jharkhand_Vikas_Morcha_(Prajatantrik)
33,Kerala Congress (M),/wiki/Kerala_Congress_(M)
34,Lok Janshakti Party,/wiki/Lok_Janshakti_Party
35,Maharashtra Navnirman Sena,/wiki/Maharashtra_Navnirman_Sena
36,Maharashtrawadi Gomantak Party,/wiki/Maharashtrawadi_Gomantak_Party
37,Mizo National Front,/wiki/Mizo_National_Front
38,Mizoram People's Conference,/wiki/Mizoram_People%27s_Conference
39,Naga People's Front,/wiki/Naga_People%27s_Front
40,National People's Party,/wiki/National_People%27s_Party_(India)
41,Nationalist Democratic Progressive Party,/wiki/Nationalist_Democratic_Progressive_Party
42,Pattali Makkal Katchi,/wiki/Pattali_Makkal_Katchi
43,People's Democratic Alliance,/wiki/People%27s_Democratic_Alliance_(Manipur)
44,People's Democratic Front,/wiki/People%27s_Democratic_Front_(Meghalaya)
45,People's Party of Arunachal,/wiki/People%27s_Party_of_Arunachal
46,Rashtriya Janata Dal,/wiki/Rashtriya_Janata_Dal
47,Rashtriya Loktantrik Party,/wiki/Rashtriya_Loktantrik_Party
48,Rashtriya Lok Samta Party,/wiki/Rashtriya_Lok_Samta_Party
49,Revolutionary Socialist Party,/wiki/Revolutionary_Socialist_Party_(India)
50,Samajwadi Party,/wiki/Samajwadi_Party
51,Shiromani Akali Dal,/wiki/Shiromani_Akali_Dal
52,Shiv Sena,/wiki/Shiv_Sena
53,Sikkim Democratic Front,/wiki/Sikkim_Democratic_Front
54,Sikkim Krantikari Morcha,/wiki/Sikkim_Krantikari_Morcha
55,Telangana Rashtra Samithi,/wiki/Telangana_Rashtra_Samithi
56,Telugu Desam Party,/wiki/Telugu_Desam_Party
57,United Democratic Party,/wiki/United_Democratic_Party_(Meghalaya)
58,YSR Congress Party,/wiki/YSR_Congress_Party
59,Zoram Nationalist Party,/wiki/Zoram_Nationalist_Party